play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
36,2010010900,DAL,PHI,DAL,home,PHI,PHI,30,2010-01-09,900,1800,3600,Half1,0,1,0,1,NA,0,15:00,PHI 30,0,47,D.Akers kicks 68 yards from PHI 30 to DAL 2. F.Jones to DAL 17 for 15 yards (S.Jones). Return right side of the field.,kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.0031692988947282096,0.1833949425431053,0.006765617624676315,0.28872732647608346,0.20527701370390178,0.0037221867065032146,0.3089436140510018,0,0,0.20107336467047165,-0.28895698111425006,-0.28895698111425006,0.28895698111425006,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F.Jones,00-0026162,NA,NA,NA,NA,D.Akers,00-0000108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0022844,NA,S.Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAL,15,NA,NA,NA,NA,0,NA,NA,0,0,0,0
62,2010010900,DAL,PHI,DAL,home,PHI,DAL,83,2010-01-09,894,1794,3594,Half1,0,1,0,1,1,0,14:54,DAL 17,10,47,"(14:54) PENALTY on DAL-K.Kosier, False Start, 5 yards, enforced at DAL 17 - No Play.",no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0033904124115518553,0.19400547580013514,0.008486747460711281,0.3038639433261553,0.1937802633297614,0.0036997969059886925,0.29277336076569643,0,0,-0.0878836164437784,-0.6928272749218636,-0.9817842560361136,0.9817842560361136,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.4055263959645817,0.5944736040354184,NA,NA,-0.019392764746710645,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,DAL,00-0021348,K.Kosier,5,0,NA,False Start,0,0,0,0
86,2010010900,DAL,PHI,DAL,home,PHI,DAL,88,2010-01-09,894,1794,3594,Half1,0,1,0,1,1,0,14:54,DAL 12,15,47,(14:54) M.Barber right tackle to DAL 15 for 3 yards (M.Patterson; W.Witherspoon).,run,3,0,0,0,0,0,0,NA,NA,NA,NA,right,tackle,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0034950331696711437,0.2232614025937885,0.01295014310770243,0.3329011848204484,0.1817799425642596,0.0038687975054842085,0.24174349623864574,0,0,-0.780710891365642,-0.35342273395100854,-1.3352069899871222,1.3352069899871222,-0.35342273395100854,0.35342273395100854,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.38613363121787103,0.613866368782129,NA,NA,-0.007238823103733527,NA,NA,-0.007238823103733527,0.007238823103733527,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,00-0023544,M.Barber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0023466,M.Patterson,PHI,00-0021085,W.Witherspoon,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
107,2010010900,DAL,PHI,DAL,home,PHI,DAL,85,2010-01-09,854,1754,3554,Half1,0,1,0,1,2,0,14:14,DAL 15,12,47,(14:14) (Shotgun) T.Romo pass short right to R.Williams to DAL 22 for 7 yards (A.Samuel). Pass complete on curl.,pass,7,1,0,1,0,0,0,short,right,7,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.003981721039257625,0.2317398621836262,0.01224333611238952,0.35892021097548044,0.1583302122110917,0.004093825738597437,0.2306908317395572,0,0,-1.1341336253166505,0.25524226804005523,-1.079964721947067,1.079964721947067,-0.35342273395100854,0.35342273395100854,0.25524226804005523,-0.25524226804005523,0.25524226804005523,0,0.25524226804005523,0,0.25524226804005523,-0.25524226804005523,0,0,0.25524226804005523,-0.25524226804005523,0,0,0.3788948081141375,0.6211051918858626,NA,NA,0.010195300114653139,NA,NA,-0.007238823103733527,0.007238823103733527,0.010195300114653139,-0.010195300114653139,0.010195300114653139,0,0.010195300114653139,0,0.010195300114653139,-0.010195300114653139,0,0,0.010195300114653139,-0.010195300114653139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0021678,T.Romo,00-0022909,R.Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0021956,NA,A.Samuel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
135,2010010900,DAL,PHI,DAL,home,PHI,DAL,78,2010-01-09,808,1708,3508,Half1,0,1,0,1,3,0,13:28,DAL 22,5,47,(13:28) (Shotgun) T.Romo pass short right to T.Choice pushed ob at DAL 28 for 6 yards (V.Harris). Pass complete in the flat.,pass,6,1,0,1,0,0,0,short,right,0,6,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0042726115484643026,0.22972235113306483,0.007609581540449811,0.3492862003303742,0.1431622205469468,0.004123528885924645,0.26182350601477555,0,0,-0.8788913572765953,1.879747212656761,0.799782490709694,-0.799782490709694,-0.35342273395100854,0.35342273395100854,2.134989480696816,-2.134989480696816,-1.3935132565237875,3.2732604691805482,-1.3935132565237875,3.2732604691805482,-1.1382709884837323,1.1382709884837323,3.2732604691805482,-3.2732604691805482,-1.1382709884837323,1.1382709884837323,3.2732604691805482,-3.2732604691805482,0.38909010822879064,0.6109098917712094,NA,NA,0.05504777662771987,NA,NA,-0.007238823103733527,0.007238823103733527,0.06524307674237301,-0.06524307674237301,-0.03907411894183477,0.09412189556955464,-0.03907411894183477,0.09412189556955464,-0.02887881882718163,0.02887881882718163,0.09412189556955464,-0.09412189556955464,-0.02887881882718163,0.02887881882718163,0.09412189556955464,-0.09412189556955464,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0021678,T.Romo,00-0026262,T.Choice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0026920,NA,V.Harris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
168,2010010900,DAL,PHI,DAL,home,PHI,DAL,72,2010-01-09,780,1680,3480,Half1,0,1,0,1,1,0,13:00,DAL 28,10,47,(13:00) M.Barber left tackle to DAL 27 for -1 yards (T.Cole).,run,-1,0,0,0,0,0,0,NA,NA,NA,NA,left,tackle,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.004231871740679192,0.1543715282172415,0.0036619229532419816,0.24494357038235465,0.23627254772165204,0.0037096554887829105,0.3528089034960478,0,0,1.0008558553801656,-0.893547531573015,-0.09376504086332105,0.09376504086332105,-1.2469702655240236,1.2469702655240236,2.134989480696816,-2.134989480696816,NA,NA,0,0,-1.1382709884837323,1.1382709884837323,3.2732604691805482,-3.2732604691805482,-1.1382709884837323,1.1382709884837323,3.2732604691805482,-3.2732604691805482,0.4441378848565105,0.5558621151434895,NA,NA,-0.02293299283355188,NA,NA,-0.030171815937285407,0.030171815937285407,0.06524307674237301,-0.06524307674237301,NA,NA,0,0,-0.02887881882718163,0.02887881882718163,0.09412189556955464,-0.09412189556955464,-0.02887881882718163,0.02887881882718163,0.09412189556955464,-0.09412189556955464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0023544,M.Barber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0023579,T.Cole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0023579,NA,T.Cole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
189,2010010900,DAL,PHI,DAL,home,PHI,DAL,73,2010-01-09,740,1640,3440,Half1,0,1,0,1,2,0,12:20,DAL 27,11,47,"(12:20) (No Huddle, Shotgun) T.Romo pass short right to R.Williams to DAL 42 for 15 yards (V.Harris). Pass complete on slant.",pass,15,1,1,1,0,0,0,short,right,-1,16,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.005120560092107419,0.18513236917003362,0.005331920294516154,0.2917553574784544,0.21299647769898403,0.004195173140563601,0.2954681421253408,0,0,0.10730832380715061,2.135702407272962,2.0419373664096407,-2.0419373664096407,-1.2469702655240236,1.2469702655240236,4.270691887969778,-4.270691887969778,-1.0442494219683978,3.1799518292413596,-1.0442494219683978,3.1799518292413596,-2.1825204104521303,2.1825204104521303,6.453212298421908,-6.453212298421908,-2.1825204104521303,2.1825204104521303,6.453212298421908,-6.453212298421908,0.42120489202295863,0.5787951079770414,NA,NA,0.06419332114483206,NA,NA,-0.030171815937285407,0.030171815937285407,0.12943639788720507,-0.12943639788720507,-0.029240181695254386,0.09343350284008645,-0.029240181695254386,0.09343350284008645,-0.058119000522436015,0.058119000522436015,0.18755539840964108,-0.18755539840964108,-0.058119000522436015,0.058119000522436015,0.18755539840964108,-0.18755539840964108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0021678,T.Romo,00-0022909,R.Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0026920,NA,V.Harris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
217,2010010900,DAL,PHI,DAL,home,PHI,DAL,58,2010-01-09,693,1593,3393,Half1,0,1,0,1,1,0,11:33,DAL 42,10,47,(11:33) (Shotgun) F.Jones right guard to DAL 47 for 5 yards (B.Bunkley).,run,5,1,0,0,0,0,0,NA,NA,NA,NA,right,guard,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0042934293494758715,0.10892303857017269,0.0011792571014281631,0.1761502652990591,0.2858610948607303,0.003508694045845609,0.42008422077328833,0,0,2.2430107310801124,0.10332192211030566,2.1452592885199464,-2.1452592885199464,-1.143648343413718,1.143648343413718,4.270691887969778,-4.270691887969778,NA,NA,0,0,-2.1825204104521303,2.1825204104521303,6.453212298421908,-6.453212298421908,-2.1825204104521303,2.1825204104521303,6.453212298421908,-6.453212298421908,0.4853982131677907,0.5146017868322093,NA,NA,0.004930150661406563,NA,NA,-0.025241665275878844,0.025241665275878844,0.12943639788720507,-0.12943639788720507,NA,NA,0,0,-0.058119000522436015,0.058119000522436015,0.18755539840964108,-0.18755539840964108,-0.058119000522436015,0.058119000522436015,0.18755539840964108,-0.18755539840964108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0026162,F.Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0024229,NA,B.Bunkley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
238,2010010900,DAL,PHI,DAL,home,PHI,DAL,53,2010-01-09,656,1556,3356,Half1,0,1,0,1,2,0,10:56,DAL 47,5,47,(10:56) T.Choice left end to PHI 44 for 9 yards (M.Fokou). RAZORBACK FORMATION. Direct snap to Choice.,run,9,0,0,0,0,0,0,NA,NA,NA,NA,left,end,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.004591010022796996,0.10467341268460756,9.446540728006843e-4,0.16881311394103965,0.29623505569092395,0.0035940890420940253,0.42114866454573713,0,0,2.346332653190418,0.8934366598210488,3.038695948340995,-3.038695948340995,-0.2502116835926691,0.2502116835926691,4.270691887969778,-4.270691887969778,NA,NA,0,0,-2.1825204104521303,2.1825204104521303,6.453212298421908,-6.453212298421908,-2.1825204104521303,2.1825204104521303,6.453212298421908,-6.453212298421908,0.49032836382919726,0.5096716361708027,NA,NA,0.028323355289478103,NA,NA,0.0030816900135992586,-0.0030816900135992586,0.12943639788720507,-0.12943639788720507,NA,NA,0,0,-0.058119000522436015,0.058119000522436015,0.18755539840964108,-0.18755539840964108,-0.058119000522436015,0.058119000522436015,0.18755539840964108,-0.18755539840964108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0026262,T.Choice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0026951,NA,M.Fokou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
263,2010010900,DAL,PHI,DAL,home,PHI,PHI,44,2010-01-09,612,1512,3312,Half1,0,1,0,1,1,0,10:12,PHI 44,10,47,(10:12) T.Romo pass short left to F.Jones ran ob at PHI 14 for 30 yards. Screen pass.,pass,30,0,0,1,0,0,0,short,left,-5,35,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.004031972693332121,0.07269867960462308,3.590178960150574e-4,0.11985822640544086,0.32701999457114456,0.0031387546128183973,0.4728933542166259,0,0,3.239769313011467,1.264445217362606,4.303141165703601,-4.303141165703601,-0.2502116835926691,0.2502116835926691,5.5351371053323835,-5.5351371053323835,-0.9074413594952646,2.1718865768578706,-0.9074413594952646,2.1718865768578706,-3.0899617699473945,3.0899617699473945,8.625098875279779,-8.625098875279779,-3.0899617699473945,3.0899617699473945,8.625098875279779,-8.625098875279779,0.5186517191186754,0.48134828088132464,NA,NA,0.03880527436424208,NA,NA,0.0030816900135992586,-0.0030816900135992586,0.16824167225144715,-0.16824167225144715,-0.026552767170380465,0.06535804153462255,-0.026552767170380465,0.06535804153462255,-0.08467176769281648,0.08467176769281648,0.25291343994426363,-0.25291343994426363,-0.08467176769281648,0.08467176769281648,0.25291343994426363,-0.25291343994426363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0021678,T.Romo,00-0026162,F.Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
291,2010010900,DAL,PHI,DAL,home,PHI,PHI,14,2010-01-09,574,1474,3274,Half1,0,1,0,1,1,0,9:34,PHI 14,10,47,"(9:34) F.Jones left tackle to PHI 14 for no gain (W.Witherspoon). PENALTY on DAL-J.Witten, Illegal Motion, 5 yards, enforced at PHI 14 - No Play.",no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001923442226144064,0.027225306117102856,2.468921285248082e-5,0.04705665155445388,0.38501870851861775,0.0021956308238786225,0.5365555715469504,0,0,4.504214530374073,-0.3128739756625354,3.990267190041066,-3.990267190041066,-0.2502116835926691,0.2502116835926691,5.5351371053323835,-5.5351371053323835,NA,NA,0,0,-3.0899617699473945,3.0899617699473945,8.625098875279779,-8.625098875279779,-3.0899617699473945,3.0899617699473945,8.625098875279779,-8.625098875279779,0.5574569934829174,0.44254300651708256,NA,NA,-0.008356272869018744,NA,NA,0.0030816900135992586,-0.0030816900135992586,0.16824167225144715,-0.16824167225144715,NA,NA,0,0,-0.08467176769281648,0.08467176769281648,0.25291343994426363,-0.25291343994426363,-0.08467176769281648,0.08467176769281648,0.25291343994426363,-0.25291343994426363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,DAL,00-0022127,J.Witten,5,0,NA,Illegal Motion,0,0,0,0
324,2010010900,DAL,PHI,DAL,home,PHI,PHI,19,2010-01-09,549,1449,3249,Half1,0,1,0,1,1,0,9:09,PHI 19,15,47,(9:09) F.Jones up the middle to PHI 17 for 2 yards (J.Babin; M.Patterson).,run,2,0,0,0,0,0,0,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.002429922816909641,0.0350806007503122,4.2282419787469806e-5,0.05766080601183036,0.405087984325997,0.002572042963854485,0.49712636071130883,0,0,4.191340554711537,-0.2659646741340076,3.724302515907058,-3.724302515907058,-0.5161763577266767,0.5161763577266767,5.5351371053323835,-5.5351371053323835,NA,NA,0,0,-3.0899617699473945,3.0899617699473945,8.625098875279779,-8.625098875279779,-3.0899617699473945,3.0899617699473945,8.625098875279779,-8.625098875279779,0.5491007206138987,0.4508992793861013,NA,NA,-0.006714942187425077,NA,NA,-0.0036332521738258183,0.0036332521738258183,0.16824167225144715,-0.16824167225144715,NA,NA,0,0,-0.08467176769281648,0.08467176769281648,0.25291343994426363,-0.25291343994426363,-0.08467176769281648,0.08467176769281648,0.25291343994426363,-0.25291343994426363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,00-0026162,F.Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0022695,J.Babin,PHI,00-0023466,M.Patterson,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
