play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
37,2009010300,ARI,ATL,ARI,home,ATL,ATL,30,2009-01-03,900,1800,3600,Half1,0,1,0,1,NA,0,15:00,ATL 30,0,8,M.Koenen kicks 67 yards from ATL 30 to ARI 3. J.Arrington to ARI 12 for 9 yards (T.DeCoud).,kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.005145560207143858,0.18347117698753204,0.007402787151842665,0.2894821051646847,0.19934684149048534,0.004259806689528912,0.3108917223087825,0,0,0.19120835259291713,-0.7646195436598697,-0.7646195436598697,0.7646195436598697,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.Arrington,00-0023479,NA,NA,NA,NA,M.Koenen,00-0023234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATL,NA,00-0026238,NA,T.DeCoud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARI,9,NA,NA,NA,NA,0,NA,NA,0,0,0,0
59,2009010300,ARI,ATL,ARI,home,ATL,ARI,88,2009-01-03,894,1794,3594,Half1,0,1,0,1,1,0,14:54,ARI 12,10,8,(14:54) K.Warner pass incomplete short left to L.Fitzgerald.,pass,0,0,0,1,0,0,0,short,left,13,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.005923411511722576,0.2109527106656489,0.01316850985260011,0.3289274849710871,0.16952635828716914,0.00416267848222175,0.26733884622955045,0,0,-0.5734111910669526,-0.750332119074461,-1.5149516627343307,1.5149516627343307,0,0,-0.750332119074461,0.750332119074461,1.2453008121566187,-1.9956329312310797,0,0,0,0,0,0,1.2453008121566187,-1.2453008121566187,-1.9956329312310797,1.9956329312310797,0.39193140573092533,0.6080685942690747,0.39193140573092533,0.6080685942690747,-0.020728959243113965,0.37120244648781137,0.6287975535121886,0,0,-0.020728959243113965,0.020728959243113965,0.03538458616603468,-0.056113545409148646,0,0,0,0,0,0,0.03538458616603468,-0.03538458616603468,-0.056113545409148646,0.056113545409148646,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0017200,K.Warner,00-0022921,L.Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
81,2009010300,ARI,ATL,ARI,home,ATL,ARI,88,2009-01-03,890,1790,3590,Half1,0,1,0,1,2,0,14:50,ARI 12,10,8,(14:50) K.Warner pass incomplete deep right to D.Rodgers-Cromartie.,pass,0,0,0,1,0,0,0,deep,right,24,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.005887574859958657,0.23869063520195355,0.015197476099627117,0.36907336160889964,0.142180640990654,0.004619404543662332,0.22435090669524466,0,0,-1.3237433101414136,-0.7932845694431039,-2.3082362321774346,2.3082362321774346,0,0,-1.5436166885175648,1.5436166885175648,3.000822056055348,-3.7941066254984515,0,0,0,0,0,0,4.246122868211966,-4.246122868211966,-5.789739556729531,5.789739556729531,0.37120244648781137,0.6287975535121886,0.37120244648781137,0.6287975535121886,-0.021971987810316895,0.34923045867749447,0.6507695413225054,0,0,-0.04270094705343086,0.04270094705343086,0.08509884615105096,-0.10707083396136785,0,0,0,0,0,0,0.12048343231708564,-0.12048343231708564,-0.1631843793705165,0.1631843793705165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0017200,K.Warner,00-0026156,D.Rodgers-Cromartie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
103,2009010300,ARI,ATL,ARI,home,ATL,ARI,88,2009-01-03,885,1785,3585,Half1,0,1,0,1,3,0,14:45,ARI 12,10,8,"(14:45) (Shotgun) K.Warner pass short right to B.Patrick to ARI 20 for 8 yards (C.Jackson, S.Nicholas).",pass,8,1,0,1,0,0,0,short,right,1,7,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.005622601210342852,0.2720841647382425,0.016269799921397855,0.41373918372195156,0.0987227642070494,0.004632039100318545,0.18892944710069728,0,0,-2.1170278795845174,0.09792721164327212,-2.2103090205341624,2.2103090205341624,0,0,-1.4456894768742927,1.4456894768742927,-0.8052623884538046,0.9031896000970767,-0.8052623884538046,0.9031896000970767,-0.8052623884538046,0.8052623884538046,0.9031896000970767,-0.9031896000970767,3.440860479758162,-3.440860479758162,-4.886549956632455,4.886549956632455,0.34923045867749447,0.6507695413225055,0.34923045867749447,0.6507695413225055,0.005059193971829634,0.3542896526493241,0.6457103473506759,0,0,-0.037641753081601226,0.037641753081601226,-0.02245991713816564,0.027519111109995276,-0.02245991713816564,0.027519111109995276,-0.02245991713816564,0.02245991713816564,0.027519111109995276,-0.027519111109995276,0.09802351517892,-0.09802351517892,-0.13566526826052122,0.13566526826052122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,00-0017200,K.Warner,00-0025602,B.Patrick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0026208,C.Jackson,ATL,00-0025496,S.Nicholas,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
127,2009010300,ARI,ATL,ARI,home,ATL,ARI,80,2009-01-03,849,1749,3549,Half1,0,1,0,1,4,0,14:09,ARI 20,2,8,"(14:09) B.Graham punts 49 yards to ATL 31, Center-N.Hodel. H.Douglas pushed ob at ARI 48 for 21 yards (C.Campbell).",punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.005350481790767672,0.27898975859010405,0.009306896013091086,0.4210325280649578,0.04748029394632947,0.004722215338456933,0.23311782625629296,0,0,-2.0191006679412453,-0.9039902377733746,-3.114299258307537,3.114299258307537,0,0,-1.4456894768742927,1.4456894768742927,NA,NA,0,0,-0.8052623884538046,0.8052623884538046,0.9031896000970767,-0.9031896000970767,3.440860479758162,-3.440860479758162,-4.886549956632455,4.886549956632455,0.3542896526493241,0.6457103473506759,0.3542896526493241,0.6457103473506759,0.14961050841450974,0.5039001610638338,0.49609983893616616,0,0,-0.037641753081601226,0.037641753081601226,NA,NA,0,0,-0.02245991713816564,0.02245991713816564,0.027519111109995276,-0.027519111109995276,0.09802351517892,-0.09802351517892,-0.13566526826052122,0.13566526826052122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0026224,H.Douglas,NA,NA,NA,NA,NA,NA,00-0022954,B.Graham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARI,NA,00-0026190,NA,C.Campbell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATL,21,NA,NA,NA,NA,0,NA,NA,0,0,0,0
161,2009010300,ARI,ATL,ATL,away,ARI,ARI,48,2009-01-03,836,1736,3536,Half1,0,2,0,1,1,0,13:56,ARI 48,10,4,(13:56) M.Ryan scrambles right end to ARI 46 for 2 yards (C.Okeafor).,run,2,0,0,1,0,0,1,NA,NA,NA,NA,right,end,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0030995356361218874,0.08458506434760563,5.90106708491103e-4,0.13921846664809404,0.3091379566141363,0.003688076290037477,0.45968079375551335,0,0,2.92309090571462,-0.33341646371746814,-2.780882794590069,2.780882794590069,0.33341646371746814,-0.33341646371746814,-1.4456894768742927,1.4456894768742927,NA,NA,0,0,-0.8052623884538046,0.8052623884538046,0.9031896000970767,-0.9031896000970767,3.440860479758162,-3.440860479758162,-4.886549956632455,4.886549956632455,0.4960998389361662,0.5039001610638338,0.5039001610638338,0.4960998389361662,-0.007186730270195452,0.5110868913340293,0.48891310866597076,0.007186730270195452,-0.007186730270195452,-0.037641753081601226,0.037641753081601226,NA,NA,0,0,-0.02245991713816564,0.02245991713816564,0.027519111109995276,-0.027519111109995276,0.09802351517892,-0.09802351517892,-0.13566526826052122,0.13566526826052122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0026143,M.Ryan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARI,NA,00-0012333,NA,C.Okeafor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
182,2009010300,ARI,ATL,ATL,away,ARI,ARI,46,2009-01-03,799,1699,3499,Half1,0,2,0,1,2,0,13:19,ARI 46,8,4,(13:19) M.Turner up the middle to ARI 44 for 2 yards (K.Dansby).,run,2,0,0,0,0,0,0,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0035064815610470635,0.09232541520710885,7.383944619963568e-4,0.15226460490554516,0.326118436235189,0.0039404542456146965,0.42110621338349874,0,0,2.589674441997152,-0.5488848685089427,-2.2319979260811262,2.2319979260811262,0.8823013322264108,-0.8823013322264108,-1.4456894768742927,1.4456894768742927,NA,NA,0,0,-0.8052623884538046,0.8052623884538046,0.9031896000970767,-0.9031896000970767,3.440860479758162,-3.440860479758162,-4.886549956632455,4.886549956632455,0.48891310866597076,0.5110868913340292,0.5110868913340292,0.48891310866597076,-0.013241584409067308,0.5243284757430965,0.47567152425690346,0.02042831467926276,-0.02042831467926276,-0.037641753081601226,0.037641753081601226,NA,NA,0,0,-0.02245991713816564,0.02245991713816564,0.027519111109995276,-0.027519111109995276,0.09802351517892,-0.09802351517892,-0.13566526826052122,0.13566526826052122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0022821,M.Turner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARI,NA,00-0022927,NA,K.Dansby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
203,2009010300,ARI,ATL,ATL,away,ARI,ARI,44,2009-01-03,757,1657,3457,Half1,0,2,0,1,3,0,12:37,ARI 44,6,4,(12:37) (Shotgun) M.Ryan pass short right intended for R.White INTERCEPTED by R.Brown at ARI 34. R.Brown to ARI 37 for 3 yards (R.White).,pass,0,1,0,1,0,0,0,short,right,10,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0041140495368890825,0.1072746672016009,9.046648149550678e-4,0.1740682553348615,0.34755620619308825,0.004468604988509741,0.3616135519300955,0,0,2.040789573488209,-3.828243678354467,1.5962457522733406,-1.5962457522733406,0.8823013322264108,-0.8823013322264108,2.382554201480174,-2.382554201480174,1.941309963397245,-5.7695536417517115,0,0,-0.8052623884538046,0.8052623884538046,0.9031896000970767,-0.9031896000970767,1.4995505163609169,-1.4995505163609169,0.8830036851192571,-0.8830036851192571,0.47567152425690346,0.5243284757430966,0.5243284757430966,0.47567152425690346,0.05564332078358819,0.4686851549595084,0.5313148450404916,0.02042831467926276,-0.02042831467926276,-0.09328507386518942,0.09328507386518942,0.05753740793919088,-0.0018940871556026861,0,0,-0.02245991713816564,0.02245991713816564,0.027519111109995276,-0.027519111109995276,0.04048610723972912,-0.04048610723972912,-0.13377118110491854,0.13377118110491854,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0026143,M.Ryan,00-0023462,R.White,NA,NA,NA,NA,NA,NA,NA,NA,00-0019613,R.Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATL,NA,00-0023462,NA,R.White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0019613,R.Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARI,3,NA,NA,NA,NA,0,NA,NA,0,0,0,0
229,2009010300,ARI,ATL,NA,NA,NA,ARI,NA,2009-01-03,751,1651,3451,Half1,0,3,0,1,NA,NA,12:31,ARI 44,0,0,Timeout at 12:31.,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,1.5962457522733406,-1.5962457522733406,0.8823013322264108,-0.8823013322264108,2.382554201480174,-2.382554201480174,NA,NA,NA,NA,-0.8052623884538046,0.8052623884538046,0.9031896000970767,-0.9031896000970767,1.4995505163609169,-1.4995505163609169,0.8830036851192571,-0.8830036851192571,NA,NA,NA,NA,0,NA,NA,0.02042831467926276,-0.02042831467926276,-0.09328507386518942,0.09328507386518942,NA,NA,NA,NA,-0.02245991713816564,0.02245991713816564,0.027519111109995276,-0.027519111109995276,0.04048610723972912,-0.04048610723972912,-0.13377118110491854,0.13377118110491854,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
246,2009010300,ARI,ATL,ARI,home,ATL,ARI,63,2009-01-03,751,1651,3451,Half1,0,3,0,1,1,0,12:31,ARI 37,10,63,(12:31) E.James left end to ARI 43 for 6 yards (C.Lofton).,run,6,0,0,0,0,0,0,NA,NA,NA,NA,left,end,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.005807208147717263,0.12586478833161377,0.001974547873921849,0.20175455375608767,0.26275701150453834,0.003976965062981231,0.3978649253231399,0,0,1.7874541048662578,0.30478092755058084,1.9010266798239215,-1.9010266798239215,1.1870822597769917,-1.1870822597769917,2.382554201480174,-2.382554201480174,NA,NA,0,0,-0.8052623884538046,0.8052623884538046,0.9031896000970767,-0.9031896000970767,1.4995505163609169,-1.4995505163609169,0.8830036851192571,-0.8830036851192571,0.4686851549595083,0.5313148450404916,0.4686851549595083,0.5313148450404916,0.011121497359683874,0.4798066523191922,0.5201933476808078,0.031549812038946634,-0.031549812038946634,-0.09328507386518942,0.09328507386518942,NA,NA,0,0,-0.02245991713816564,0.02245991713816564,0.027519111109995276,-0.027519111109995276,0.04048610723972912,-0.04048610723972912,-0.13377118110491854,0.13377118110491854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0008241,E.James,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATL,NA,00-0026177,NA,C.Lofton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
267,2009010300,ARI,ATL,ARI,home,ATL,ARI,57,2009-01-03,714,1614,3414,Half1,0,3,0,1,2,0,11:54,ARI 43,4,63,(11:54) (Shotgun) E.James up the middle to ATL 48 for 9 yards (K.Brooking).,run,9,1,0,0,0,0,0,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.005900321965595808,0.11609526471274804,0.0013119810474447062,0.1850294592811319,0.2708796905015478,0.003954209065494191,0.41682907342603764,0,0,2.0922350324168386,0.8497072319710721,2.7507339117949936,-2.7507339117949936,2.036789491748064,-2.036789491748064,2.382554201480174,-2.382554201480174,NA,NA,0,0,-0.8052623884538046,0.8052623884538046,0.9031896000970767,-0.9031896000970767,1.4995505163609169,-1.4995505163609169,0.8830036851192571,-0.8830036851192571,0.4798066523191922,0.5201933476808078,0.4798066523191922,0.5201933476808078,0.027111786898308066,0.5069184392175002,0.49308156078249976,0.0586615989372547,-0.0586615989372547,-0.09328507386518942,0.09328507386518942,NA,NA,0,0,-0.02245991713816564,0.02245991713816564,0.027519111109995276,-0.027519111109995276,0.04048610723972912,-0.04048610723972912,-0.13377118110491854,0.13377118110491854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0008241,E.James,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATL,NA,00-0001820,NA,K.Brooking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
